"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2023,"10001",1,1,"dilluns", 8944
2023,"10001",1,2,"laborables", 9186
2023,"10001",1,3,"divendres", 9731
2023,"10001",1,4,"dissabte", 8244
2023,"10001",1,5,"diumenge", 6235
2023,"10001",2,1,"dilluns", 9466
2023,"10001",2,2,"laborables", 9715
2023,"10001",2,3,"divendres", 10156
2023,"10001",2,4,"dissabte", 8397
2023,"10001",2,5,"diumenge", 6692
2023,"10001",3,1,"dilluns", 9431
2023,"10001",3,2,"laborables", 9750
2023,"10001",3,3,"divendres", 10172
2023,"10001",3,4,"dissabte", 8494
2023,"10001",3,5,"diumenge", 6436
2023,"10001",4,1,"dilluns", 9422
2023,"10001",4,2,"laborables", 9614
2023,"10001",4,3,"divendres", 10292
2023,"10001",4,4,"dissabte", 7869
2023,"10001",4,5,"diumenge", 6018
2023,"10001",5,1,"dilluns", 9575
2023,"10001",5,2,"laborables", 9883
2023,"10001",5,3,"divendres", 10383
2023,"10001",5,4,"dissabte", 8887
2023,"10001",5,5,"diumenge", 7037
2023,"10001",6,1,"dilluns","Mesura no disponible"
2023,"10001",6,2,"laborables","Mesura no disponible"
2023,"10001",6,3,"divendres","Mesura no disponible"
2023,"10001",6,4,"dissabte","Mesura no disponible"
2023,"10001",6,5,"diumenge","Mesura no disponible"
2023,"10001",7,1,"dilluns","Mesura no disponible"
2023,"10001",7,2,"laborables","Mesura no disponible"
2023,"10001",7,3,"divendres","Mesura no disponible"
2023,"10001",7,4,"dissabte","Mesura no disponible"
2023,"10001",7,5,"diumenge","Mesura no disponible"
2023,"10001",8,1,"dilluns", 7687
2023,"10001",8,2,"laborables", 7675
2023,"10001",8,3,"divendres", 7577
2023,"10001",8,4,"dissabte", 5496
2023,"10001",8,5,"diumenge", 5265
2023,"10001",9,1,"dilluns", 8768
2023,"10001",9,2,"laborables", 9545
2023,"10001",9,3,"divendres", 9810
2023,"10001",9,4,"dissabte", 7767
2023,"10001",9,5,"diumenge", 6076
2023,"10001",10,1,"dilluns", 9619
2023,"10001",10,2,"laborables", 9818
2023,"10001",10,3,"divendres", 9542
2023,"10001",10,4,"dissabte", 8277
2023,"10001",10,5,"diumenge", 6721
2023,"10001",11,1,"dilluns", 9319
2023,"10001",11,2,"laborables", 9506
2023,"10001",11,3,"divendres", 10047
2023,"10001",11,4,"dissabte", 8600
2023,"10001",11,5,"diumenge", 6757
2023,"10001",12,1,"dilluns", 9673
2023,"10001",12,2,"laborables", 9464
2023,"10001",12,3,"divendres", 9961
2023,"10001",12,4,"dissabte", 8145
2023,"10001",12,5,"diumenge", 6645
2023,"10002",1,1,"dilluns", 20783
2023,"10002",1,2,"laborables", 20891
2023,"10002",1,3,"divendres", 22471
2023,"10002",1,4,"dissabte", 19047
2023,"10002",1,5,"diumenge", 15340
2023,"10002",2,1,"dilluns", 21152
2023,"10002",2,2,"laborables", 21763
2023,"10002",2,3,"divendres", 22874
2023,"10002",2,4,"dissabte", 19603
2023,"10002",2,5,"diumenge", 16553
2023,"10002",3,1,"dilluns", 21717
2023,"10002",3,2,"laborables", 22267
2023,"10002",3,3,"divendres", 23241
2023,"10002",3,4,"dissabte", 20367
2023,"10002",3,5,"diumenge", 16822
2023,"10002",4,1,"dilluns", 21526
2023,"10002",4,2,"laborables", 22291
2023,"10002",4,3,"divendres", 23678
2023,"10002",4,4,"dissabte", 19956
2023,"10002",4,5,"diumenge", 15865
2023,"10002",5,1,"dilluns", 21853
2023,"10002",5,2,"laborables", 22531
