Año;Mes;Via Acceso BCN;Sentido;Valor
2007;1;C-31S;Salida;28384
2007;2;C-31S;Salida;30237
2007;3;C-31S;Salida;30642
2007;4;C-31S;Salida;29736
2007;5;C-31S;Salida;35035
2007;6;C-31S;Salida;37103
2007;7;C-31S;Salida;41246
2007;8;C-31S;Salida;33051
2007;9;C-31S;Salida;33299
2007;10;C-31S;Salida;31164
2007;11;C-31S;Salida;28902
2007;12;C-31S;Salida;29355
2007;1;C-32S;Salida;70574
2007;2;C-32S;Salida;73524
2007;3;C-32S;Salida;76606
2007;4;C-32S;Salida;72040
2007;5;C-32S;Salida;78076
2007;6;C-32S;Salida;79870
2007;7;C-32S;Salida;84922
2007;8;C-32S;Salida;65950
2007;9;C-32S;Salida;74104
2007;10;C-32S;Salida;76127
2007;11;C-32S;Salida;75245
2007;12;C-32S;Salida;66542
2007;1;A-2;Salida;59010
2007;2;A-2;Salida;58916
2007;3;A-2;Salida;59800
2007;4;A-2;Salida;57281
2007;5;A-2;Salida;61688
2007;6;A-2;Salida;62594
2007;7;A-2;Salida;63368
2007;8;A-2;Salida;49444
2007;9;A-2;Salida;59168
2007;10;A-2;Salida;62426
2007;11;A-2;Salida;63777
2007;12;A-2;Salida;60228
2007;1;B-23;Salida;66229
2007;2;B-23;Salida;70754
2007;3;B-23;Salida;71514
2007;4;B-23;Salida;67256
2007;5;B-23;Salida;74364
2007;6;B-23;Salida;73745
2007;7;B-23;Salida;74869
2007;8;B-23;Salida;55786
2007;9;B-23;Salida;67636
2007;10;B-23;Salida;74273
2007;11;B-23;Salida;72008
2007;12;B-23;Salida;61994
2007;1;C-58;Salida;75637
2007;2;C-58;Salida;76769
2007;3;C-58;Salida;79296
2007;4;C-58;Salida;72794
2007;5;C-58;Salida;77470
2007;6;C-58;Salida;78020
2007;7;C-58;Salida;79244
2007;8;C-58;Salida;58064
2007;9;C-58;Salida;73044
2007;10;C-58;Salida;77852
2007;11;C-58;Salida;78070
2007;12;C-58;Salida;72628
2007;1;C-33;Salida;38465
2007;2;C-33;Salida;40130
2007;3;C-33;Salida;42204
2007;4;C-33;Salida;40295
2007;5;C-33;Salida;42810
2007;6;C-33;Salida;44664
2007;7;C-33;Salida;46440
2007;8;C-33;Salida;36518
2007;9;C-33;Salida;41293
2007;10;C-33;Salida;43379
2007;11;C-33;Salida;43028
2007;12;C-33;Salida;39863
2007;1;C-17;Salida;19401
2007;2;C-17;Salida;19793
2007;3;C-17;Salida;19825
2007;4;C-17;Salida;18212
2007;5;C-17;Salida;19152
2007;6;C-17;Salida;18006
2007;7;C-17;Salida;16768
2007;8;C-17;Salida;12726
2007;9;C-17;Salida;16606
2007;10;C-17;Salida;17181
2007;11;C-17;Salida;17036
2007;12;C-17;Salida;16113
2007;1;B-20;Salida;34696
2007;2;B-20;Salida;36232
2007;3;B-20;Salida;38089
2007;4;B-20;Salida;35336
2007;5;B-20;Salida;39251
2007;6;B-20;Salida;40542
2007;7;B-20;Salida;43982
2007;8;B-20;Salida;32732
2007;9;B-20;Salida;37144
2007;10;B-20;Salida;37078
2007;11;B-20;Salida;36981
2007;12;B-20;Salida;34070
2007;1;C-31N;Salida;39826
2007;2;C-31N;Salida;41983
2007;3;C-31N;Salida;43625
2007;4;C-31N;Salida;41435
2007;5;C-31N;Salida;44841
2007;6;C-31N;Salida;45222
2007;7;C-31N;Salida;44216
2007;8;C-31N;Salida;33066
2007;9;C-31N;Salida;39007
2007;10;C-31N;Salida;41539
2007;11;C-31N;Salida;36563
2007;12;C-31N;Salida;38057
2007;1;C-16;Salida;16769
2007;2;C-16;Salida;18177
2007;3;C-16;Salida;18449
2007;4;C-16;Salida;15807
2007;5;C-16;Salida;18393
2007;6;C-16;Salida;18090
2007;7;C-16;Salida;17516
2007;8;C-16;Salida;9231
2007;9;C-16;Salida;15960
2007;10;C-16;Salida;18639
2007;11;C-16;Salida;17989
2007;12;C-16;Salida;16274
2007;1;C-31S;Entrada;26832
2007;2;C-31S;Entrada;28755
2007;3;C-31S;Entrada;28300
2007;4;C-31S;Entrada;27722
2007;5;C-31S;Entrada;32970
2007;6;C-31S;Entrada;31400
2007;7;C-31S;Entrada;37231
2007;8;C-31S;Entrada;26382
2007;9;C-31S;Entrada;29652
2007;10;C-31S;Entrada;27376
2007;11;C-31S;Entrada;23985
2007;12;C-31S;Entrada;25705
2007;1;C-32S;Entrada;69620
2007;2;C-32S;Entrada;72003
2007;3;C-32S;Entrada;74818
2007;4;C-32S;Entrada;71491
2007;5;C-32S;Entrada;76046
2007;6;C-32S;Entrada;76719
2007;7;C-32S;Entrada;82621
2007;8;C-32S;Entrada;67539
2007;9;C-32S;Entrada;73664
2007;10;C-32S;Entrada;74624
2007;11;C-32S;Entrada;74869
2007;12;C-32S;Entrada;66198
2007;1;A-2;Entrada;55977
2007;2;A-2;Entrada;56913
2007;3;A-2;Entrada;57043
2007;4;A-2;Entrada;55487
2007;5;A-2;Entrada;59686
2007;6;A-2;Entrada;59742
2007;7;A-2;Entrada;61270
2007;8;A-2;Entrada;49204
2007;9;A-2;Entrada;57760
2007;10;A-2;Entrada;59335
2007;11;A-2;Entrada;59941
2007;12;A-2;Entrada;55091
2007;1;B-23;Entrada;61598
2007;2;B-23;Entrada;66562
2007;3;B-23;Entrada;70913
2007;4;B-23;Entrada;65379
2007;5;B-23;Entrada;71715
2007;6;B-23;Entrada;70299
2007;7;B-23;Entrada;71606
2007;8;B-23;Entrada;56732
2007;9;B-23;Entrada;66556
2007;10;B-23;Entrada;70425
2007;11;B-23;Entrada;69485
2007;12;B-23;Entrada;60380
2007;1;C-58;Entrada;69110
2007;2;C-58;Entrada;70347
2007;3;C-58;Entrada;72818
2007;4;C-58;Entrada;67135
2007;5;C-58;Entrada;71966
2007;6;C-58;Entrada;71829
2007;7;C-58;Entrada;73046
2007;8;C-58;Entrada;54131
2007;9;C-58;Entrada;67928
2007;10;C-58;Entrada;72291
2007;11;C-58;Entrada;72812
2007;12;C-58;Entrada;66872
2007;1;C-33;Entrada;43739
2007;2;C-33;Entrada;46003
2007;3;C-33;Entrada;47590
2007;4;C-33;Entrada;44895
2007;5;C-33;Entrada;49504
2007;6;C-33;Entrada;49692
2007;7;C-33;Entrada;52869
2007;8;C-33;Entrada;38831
2007;9;C-33;Entrada;47411
2007;10;C-33;Entrada;49410
2007;11;C-33;Entrada;49137
2007;12;C-33;Entrada;45378
2007;1;C-17;Entrada;23000
2007;2;C-17;Entrada;23458
2007;3;C-17;Entrada;23475
2007;4;C-17;Entrada;21708
2007;5;C-17;Entrada;22781
2007;6;C-17;Entrada;21438
2007;7;C-17;Entrada;20389
2007;8;C-17;Entrada;15429
2007;9;C-17;Entrada;18716
2007;10;C-17;Entrada;19346
2007;11;C-17;Entrada;18687
2007;12;C-17;Entrada;17342
2007;1;B-20;Entrada;30788
2007;2;B-20;Entrada;31994
2007;3;B-20;Entrada;33248
2007;4;B-20;Entrada;31440
2007;5;B-20;Entrada;34945
2007;6;B-20;Entrada;36409
2007;7;B-20;Entrada;40508
2007;8;B-20;Entrada;30207
2007;9;B-20;Entrada;33749
2007;10;B-20;Entrada;32715
2007;11;B-20;Entrada;32738
2007;12;B-20;Entrada;30083
2007;1;C-31N;Entrada;37981
2007;2;C-31N;Entrada;39156
2007;3;C-31N;Entrada;41089
2007;4;C-31N;Entrada;38440
2007;5;C-31N;Entrada;41686
2007;6;C-31N;Entrada;42216
2007;7;C-31N;Entrada;45898
2007;8;C-31N;Entrada;33990
2007;9;C-31N;Entrada;40717
2007;10;C-31N;Entrada;40347
2007;11;C-31N;Entrada;37738
2007;12;C-31N;Entrada;38147
2007;1;C-16;Entrada;19157
2007;2;C-16;Entrada;20490
2007;3;C-16;Entrada;20724
2007;4;C-16;Entrada;17822
2007;5;C-16;Entrada;21146
2007;6;C-16;Entrada;20337
2007;7;C-16;Entrada;20129
2007;8;C-16;Entrada;10435
2007;9;C-16;Entrada;18270
2007;10;C-16;Entrada;21184
2007;11;C-16;Entrada;20718
2007;12;C-16;Entrada;18091
2008;1;C-31S;Salida;30625
2008;2;C-31S;Salida;31884
2008;3;C-31S;Salida;31034
2008;4;C-31S;Salida;35045
2008;5;C-31S;Salida;34841
2008;6;C-31S;Salida;38243
2008;7;C-31S;Salida;43199
2008;8;C-31S;Salida;34370
2008;9;C-31S;Salida;32933
2008;10;C-31S;Salida;33761
2008;11;C-31S;Salida;27375
2008;12;C-31S;Salida;27009
2008;1;C-32S;Salida;70614
2008;2;C-32S;Salida;72598
2008;3;C-32S;Salida;68234
2008;4;C-32S;Salida;74661
2008;5;C-32S;Salida;70403
2008;6;C-32S;Salida;72826
2008;7;C-32S;Salida;78109
2008;8;C-32S;Salida;61799
2008;9;C-32S;Salida;66986
2008;10;C-32S;Salida;70142
2008;11;C-32S;Salida;67867
2008;12;C-32S;Salida;65110
2008;1;A-2;Salida;60458
2008;2;A-2;Salida;61671
2008;3;A-2;Salida;58471
2008;4;A-2;Salida;63087
2008;5;A-2;Salida;59190
2008;6;A-2;Salida;59395
2008;7;A-2;Salida;61729
2008;8;A-2;Salida;46893
2008;9;A-2;Salida;58675
2008;10;A-2;Salida;61748
2008;11;A-2;Salida;59130
2008;12;A-2;Salida;56734
2008;1;B-23;Salida;67113
2008;2;B-23;Salida;70095
2008;3;B-23;Salida;63729
2008;4;B-23;Salida;71140
2008;5;B-23;Salida;66097
2008;6;B-23;Salida;65582
2008;7;B-23;Salida;70230
2008;8;B-23;Salida;49458
2008;9;B-23;Salida;62947
2008;10;B-23;Salida;62927
2008;11;B-23;Salida;60912
2008;12;B-23;Salida;59878
2008;1;C-58;Salida;76244
2008;2;C-58;Salida;78671
2008;3;C-58;Salida;72972
2008;4;C-58;Salida;79867
2008;5;C-58;Salida;75290
2008;6;C-58;Salida;73131
2008;7;C-58;Salida;77240
2008;8;C-58;Salida;56703
2008;9;C-58;Salida;73527
2008;10;C-58;Salida;77770
2008;11;C-58;Salida;76209
2008;12;C-58;Salida;73611
2008;1;C-33;Salida;41147
2008;2;C-33;Salida;42950
2008;3;C-33;Salida;40346
2008;4;C-33;Salida;44600
2008;5;C-33;Salida;41922
2008;6;C-33;Salida;41085
2008;7;C-33;Salida;45331
2008;8;C-33;Salida;34645
2008;9;C-33;Salida;41123
2008;10;C-33;Salida;42881
2008;11;C-33;Salida;40946
2008;12;C-33;Salida;39278
2008;1;C-17;Salida;16651
2008;2;C-17;Salida;17251
2008;3;C-17;Salida;16133
2008;4;C-17;Salida;17275
2008;5;C-17;Salida;16469
2008;6;C-17;Salida;16280
2008;7;C-17;Salida;16699
2008;8;C-17;Salida;12219
2008;9;C-17;Salida;15978
2008;10;C-17;Salida;16756
2008;11;C-17;Salida;16330
2008;12;C-17;Salida;16023
2008;1;B-20;Salida;35264
2008;2;B-20;Salida;36476
2008;3;B-20;Salida;35157
2008;4;B-20;Salida;36868
2008;5;B-20;Salida;34576
2008;6;B-20;Salida;32292
2008;7;B-20;Salida;37752
2008;8;B-20;Salida;28708
2008;9;B-20;Salida;31943
2008;10;B-20;Salida;31911
2008;11;B-20;Salida;32899
2008;12;B-20;Salida;31586
2008;1;C-31N;Salida;39423
2008;2;C-31N;Salida;41098
2008;3;C-31N;Salida;38704
2008;4;C-31N;Salida;42757
2008;5;C-31N;Salida;39974
2008;6;C-31N;Salida;40950
2008;7;C-31N;Salida;43000
2008;8;C-31N;Salida;30681
2008;9;C-31N;Salida;36907
2008;10;C-31N;Salida;35359
2008;11;C-31N;Salida;34176
2008;12;C-31N;Salida;33497
2008;1;C-16;Salida;17166
2008;2;C-16;Salida;18524
2008;3;C-16;Salida;16031
2008;4;C-16;Salida;18877
2008;5;C-16;Salida;17207
2008;6;C-16;Salida;17010
2008;7;C-16;Salida;17387
2008;8;C-16;Salida;8508
2008;9;C-16;Salida;16045
2008;10;C-16;Salida;18416
2008;11;C-16;Salida;17367
